,,LUCAS spade sampling method,,,,,,,,,,,,Gouge auger sampling method,,,,,,,,,,,,,
"Sampling
locatgion",Land cover,Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",Soil_ID,"Clay/
g kg–1","Silt/
g kg–1","Sand/
g kg–1","Organic carbon/
g kg–1","Calcium carbonate/
g kg–1","Nitrogen/
g kg–1","Phosphorus/
mg kg–1","Potassium/
mg kg–1","pH in H2O
",pH in CaCl2,"Electrical conductivity/
mS m–1",,
22,cropland,53023,29,56,15,16.8,1,2.3,32,224.4,6.56,6.4,20.5,53183,31,52,17,15.7,0,2.1,30.6,166.3,6.33,6,19.2,,
23,cropland,53024,28,46,25,15.4,2,2.1,16.3,115.1,6.65,6.4,13.5,53184,30,48,22,16.6,0,2.1,21.7,93.1,6.25,5.9,12.3,,
24,cropland,53031,24,45,31,16,0,2,32.8,94.8,5.02,4.7,22.3,53191,28,46,26,15.8,0,2,34.8,85.5,5.09,4.7,23.2,,
25,cropland,53034,28,44,27,13.6,0,1.8,25.4,189.6,6.86,6.5,12.3,53194,28,44,28,14.1,0,1.8,32.6,144.6,6.74,6.4,13.4,,
26,cropland,53044,20,34,46,8.9,0,1.1,50.6,185.4,5.45,5,15.2,53204,22,33,46,8.5,0,1.1,59.4,139.4,5.63,5.2,15.7,,
27,cropland,53051,19,41,40,10.5,0,1.5,44.4,153.9,4.97,4.6,19.3,53211,18,40,42,9.1,0,1.3,47.6,108.9,4.86,4.5,18.8,,
28,cropland,53054,15,40,45,16.6,0,2,28.3,186,5.68,5.2,18.7,53214,15,39,46,17.1,1,2.1,32.4,149.4,5.51,5.1,19.9,,
29,cropland,53056,19,70,11,15.6,46,1.9,55.4,199.4,8.14,7.6,28.9,53216,19,69,12,15.7,44,1.9,49.4,217.9,8.01,7.5,34.1,,
30,cropland,53058,20,46,34,13.9,3,1.8,82.1,131.1,7.06,6.7,15.6,53218,20,46,34,13.5,1,1.8,80.6,108.7,6.51,6.3,15.1,,
31,cropland,53061,27,53,20,23.5,1,3,108.7,293.3,4.95,4.6,42.5,53221,28,54,19,24.9,1,3.1,112.9,400.3,4.79,4.6,55.1,,
